ZCTA,ccdesert
20105,0
20106,1
20109,1
20110,0
20111,1
20112,1
20115,1
20117,1
20118,0
20119,1
20120,0
20121,0
20124,0
20129,0
20130,0
20132,0
20135,0
20136,1
20137,1
20139,0
20141,1
20143,1
20144,1
20147,0
20148,0
20151,0
20152,0
20155,0
20158,1
20164,0
20165,0
20166,0
20169,0
20170,0
20171,0
20175,0
20176,1
20180,1
20181,1
20184,0
20186,0
20187,1
20190,0
20191,0
20194,0
20197,1
20198,0
20601,1
20602,0
20603,0
20606,0
20607,1
20608,0
20609,1
20611,0
20612,0
20613,0
20615,0
20616,1
20617,0
20618,0
20619,0
20620,0
20621,0
20622,1
20623,0
20624,1
20625,1
20626,0
20628,0
20629,0
20630,1
20632,1
20634,0
20636,0
20637,0
20639,0
20640,1
20645,0
20646,0
20650,0
20653,1
20657,1
20658,0
20659,0
20660,0
20662,0
20664,1
20667,0
20670,1
20674,0
20675,0
20676,1
20677,1
20678,0
20680,0
20684,1
20685,0
20686,0
20687,0
20688,0
20689,0
20690,0
20692,1
20693,1
20695,1
20701,0
20705,1
20706,0
20707,0
20708,1
20710,1
20711,0
20712,1
20714,0
20715,0
20716,0
20720,1
20721,0
20722,1
20723,0
20724,1
20732,1
20733,1
20735,1
20736,0
20737,1
20740,1
20742,0
20743,1
20744,0
20745,0
20746,0
20747,0
20748,1
20751,0
20754,0
20755,1
20758,0
20759,0
20762,1
20763,1
20764,1
20765,0
20769,0
20770,0
20772,0
20774,1
20776,0
20777,0
20778,1
20779,1
20781,1
20782,1
20783,1
20784,1
20785,0
20794,0
20812,0
20814,0
20815,0
20816,0
20817,0
20818,0
20832,0
20833,1
20837,0
20838,0
20839,0
20841,0
20842,1
20850,0
20851,0
20852,0
20853,0
20854,0
20855,0
20860,0
20861,0
20862,0
20866,0
20868,0
20871,1
20872,0
20874,0
20876,0
20877,1
20878,0
20879,0
20880,0
20882,1
20886,1
20895,0
20896,0
20899,0
20901,1
20902,1
20903,1
20904,0
20905,0
20906,1
20910,0
20912,0
21001,1
21005,1
21009,1
21010,0
21012,0
21013,1
21014,0
21015,0
21017,0
21028,0
21029,0
21030,0
21031,0
21032,0
21034,1
21035,0
21036,0
21037,1
21040,1
21042,0
21043,0
21044,0
21045,0
21046,0
21047,0
21048,0
21050,0
21051,0
21052,0
21053,0
21054,0
21056,0
21057,0
21060,0
21061,1
21071,0
21074,0
21075,0
21076,0
21077,0
21078,1
21082,0
21084,0
21085,1
21087,0
21090,0
21093,0
21102,0
21104,0
21105,0
21108,1
21111,0
21113,0
21114,1
21117,0
21120,0
21122,0
21128,1
21130,1
21131,1
21132,0
21133,1
21136,0
21140,1
21144,1
21146,0
21152,0
21153,0
21154,1
21155,0
21156,0
21157,0
21158,0
21160,1
21161,1
21162,1
21163,0
21201,0
21202,0
21204,0
21205,1
21206,0
21207,0
21208,0
21209,1
21210,0
21211,1
21212,0
21213,0
21214,1
21215,0
21216,0
21217,0
21218,0
21219,1
21220,1
21221,0
21222,0
21223,1
21224,1
21225,1
21226,1
21227,1
21228,0
21229,1
21230,0
21231,1
21234,1
21236,0
21237,1
21239,1
21240,0
21244,1
21250,0
21251,0
21252,0
21286,0
21401,0
21402,1
21403,1
21405,1
21409,0
21502,0
21520,0
21521,1
21522,0
21523,0
21524,1
21529,0
21530,0
21531,0
21532,1
21536,1
21538,0
21539,0
21540,0
21541,0
21542,0
21543,0
21545,0
21550,0
21555,1
21557,1
21561,1
21562,0
21601,0
21607,0
21610,0
21612,0
21613,0
21617,1
21619,1
21620,0
21622,0
21623,1
21624,0
21625,0
21626,0
21627,0
21628,0
21629,1
21631,1
21632,1
21634,0
21635,1
21636,1
21638,0
21639,0
21640,1
21641,0
21643,1
21644,0
21645,0
21647,0
21648,0
21649,1
21650,0
21651,1
21652,0
21653,0
21654,0
21655,0
21657,1
21658,1
21659,1
21660,1
21661,0
21662,1
21663,0
21664,0
21665,1
21666,0
21667,0
21668,0
21669,0
21671,0
21672,0
21673,0
21675,0
21676,0
21677,0
21678,0
21679,0
21701,0
21702,0
21703,0
21704,1
21705,0
21710,0
21711,1
21713,1
21714,0
21716,0
21717,0
21718,0
21719,1
21722,0
21723,0
21727,0
21733,1
21734,1
21737,0
21738,0
21740,0
21742,0
21746,0
21750,1
21754,0
21755,0
21756,1
21757,0
21758,1
21762,0
21766,0
21767,1
21769,0
21770,0
21771,0
21773,0
21774,0
21776,1
21777,1
21778,1
21779,1
21780,1
21781,0
21782,0
21783,1
21784,0
21787,1
21788,1
21790,0
21791,0
21793,0
21794,0
21795,0
21797,0
21798,0
21801,1
21802,0
21804,0
21810,1
21811,0
21813,1
21814,0
21817,0
21821,0
21822,0
21824,0
21826,0
21829,1
21830,0
21835,0
21837,0
21838,1
21840,0
21841,0
21842,0
21849,1
21850,1
21851,1
21853,0
21856,0
21861,1
21862,0
21863,0
21864,0
21865,0
21866,0
21867,0
21869,0
21871,1
21872,0
21874,0
21875,1
21890,0
21901,1
21902,0
21903,0
21904,1
21911,0
21912,1
21913,0
21914,0
21915,0
21916,0
21917,0
21918,1
21919,1
21920,0
21921,0
21930,0
22003,0
22015,0
22025,0
22026,1
22027,0
22030,0
22031,0
22032,1
22033,0
22035,0
22039,0
22041,1
22042,0
22043,1
22044,1
22046,0
22060,1
22066,1
22079,1
22101,0
22102,0
22124,0
22125,1
22134,1
22150,1
22151,1
22152,1
22153,1
22172,1
22180,0
22181,1
22182,0
22185,0
22191,1
22192,0
22193,1
22201,0
22202,0
22203,0
22204,1
22205,1
22206,1
22207,1
22209,0
22211,0
22213,1
22214,0
22301,0
22302,0
22303,0
22304,1
22305,1
22306,1
22307,1
22308,0
22309,1
22310,0
22311,1
22312,1
22314,0
22315,1
22401,0
22405,0
22406,0
22407,0
22408,0
22427,0
22432,1
22433,0
22435,1
22436,1
22437,1
22438,1
22443,1
22448,0
22454,1
22460,1
22469,1
22473,1
22476,0
22480,0
22482,0
22485,0
22488,1
22503,1
22504,0
22508,0
22509,0
22511,1
22514,1
22520,1
22529,0
22530,0
22534,1
22535,0
22538,1
22539,1
22542,1
22546,0
22548,0
22551,1
22553,0
22554,0
22556,1
22560,0
22567,0
22572,0
22576,1
22578,1
22579,0
22580,1
22601,0
22602,1
22603,1
22610,1
22611,0
22620,1
22623,0
22624,0
22625,1
22627,0
22630,0
22637,0
22639,0
22640,1
22641,1
22642,1
22643,0
22644,1
22645,1
22646,0
22650,1
22652,0
22654,0
22655,0
22656,1
22657,1
22660,1
22663,1
22664,1
22701,0
22709,1
22711,0
22712,0
22713,1
22714,1
22715,0
22716,0
22718,0
22719,0
22720,1
22722,0
22723,0
22724,1
22726,0
22727,0
22728,1
22729,1
22730,0
22731,0
22732,0
22733,1
22734,1
22735,1
22736,1
22737,1
22738,1
22740,1
22741,0
22742,1
22743,0
22747,0
22749,0
22801,0
22802,1
22807,0
22810,0
22811,0
22812,1
22815,1
22820,0
22821,1
22824,1
22827,1
22830,1
22831,1
22832,1
22834,1
22835,1
22840,0
22841,1
22842,1
22843,1
22844,1
22845,0
22846,1
22847,1
22849,1
22850,1
22851,1
22853,1
22901,0
22902,0
22903,0
22904,0
22911,0
22920,0
22922,0
22923,1
22931,0
22932,1
22935,0
22936,1
22937,1
22938,0
22939,0
22940,1
22942,1
22943,0
22946,0
22947,1
22948,0
22949,1
22952,0
22958,0
22959,1
22960,1
22963,1
22964,0
22967,1
22968,1
22969,1
22971,1
22972,1
22973,1
22974,1
22976,1
22980,1
22989,0
23002,1
23004,0
23005,0
23009,1
23011,0
23015,1
23021,0
23022,1
23023,0
23024,1
23025,0
23027,1
23030,0
23032,0
23035,1
23038,1
23039,1
23040,1
23043,1
23045,0
23047,1
23050,1
23055,1
23056,0
23059,0
23060,0
23061,0
23062,0
23063,0
23064,0
23065,1
23066,0
23068,0
23069,1
23070,0
23071,0
23072,1
23075,0
23076,0
23079,1
23083,1
23084,1
23085,0
