ZIP,ccdesert,numcenters,totalpop,whitenonhisp,blacknonhisp,hispanic,perwhite,perblack,perhispanic
20105,0,4,13647,6627,1285,1155,.48560122,.094159886,.084633984
20106,1,0,5265,4787,76,38,.90921175,.014434948,.0072174738
20109,1,7,35711,12102,5497,13347,.33888718,.15393016,.37375039
20110,0,24,47103,21732,6367,15043,.4613719,.13517186,.31936395
20111,1,6,32648,15859,3132,10067,.48575717,.095932372,.30834967
20112,1,2,27187,18720,2695,3349,.68856436,.099128261,.12318388
20115,1,2,5975,4995,423,253,.83598328,.070794977,.042343095
20117,1,1,2450,1980,417,29,.80816329,.17020409,.011836735
20118,0,1,11,0,11,0,0,1,0
20119,1,1,4407,3949,192,115,.89607441,.043567054,.026094848
20120,0,10,41244,20945,2321,4303,.50783145,.056274854,.10433032
20121,0,8,29932,11957,2395,6120,.39947215,.080014698,.20446345
20124,0,5,15713,12155,585,664,.77356327,.03723032,.042258002
20129,0,0,734,477,17,105,.64986378,.023160763,.14305177
20130,0,0,173,143,30,0,.82658958,.1734104,0
20132,0,4,17531,15440,407,929,.88072556,.023216017,.052991845
20135,0,2,2959,2677,70,75,.90469754,.02365664,.0253464
20136,1,6,31367,19645,3524,4027,.62629515,.11234737,.12838334
20137,1,0,1456,1357,12,83,.93200547,.0082417587,.057005495
20139,0,0,171,118,0,0,.69005847,0,0
20141,1,0,6275,5130,114,652,.81752986,.01816733,.10390438
20143,1,0,1357,1088,0,25,.8017686,0,.018422991
20144,1,0,1222,933,81,56,.76350248,.066284776,.045826513
20147,0,25,59371,35413,5025,6449,.59646964,.084637284,.10862205
20148,0,9,34777,18293,2522,1758,.52600855,.072519191,.050550651
20151,0,20,21959,10108,1466,4432,.4603124,.066760778,.20183069
20152,0,11,27826,14493,1697,1958,.5208438,.060986128,.070365846
20155,0,12,32069,20381,3333,3163,.6355359,.10393215,.098631077
20158,1,0,4196,3693,110,293,.88012391,.026215443,.069828406
20164,0,10,39056,15928,3017,13635,.40782467,.077248052,.34911409
20165,0,7,33252,21925,2054,3165,.65935886,.061770722,.095182247
20166,0,5,9945,3647,1301,1675,.36671695,.13081951,.16842635
20169,0,4,21476,16248,1844,1147,.75656545,.085863292,.053408455
20170,0,16,42634,18414,3463,12089,.43190882,.081226252,.28355303
20171,0,16,48663,23421,4237,4232,.48128968,.0870682,.086965457
20175,0,8,30606,22253,1990,3692,.72707963,.065019928,.12062994
20176,1,6,48876,29932,3978,7884,.61240691,.081389636,.16130616
20180,1,2,6426,6005,99,185,.9344849,.015406162,.028789293
20181,1,0,7844,6346,242,880,.809026,.030851606,.11218766
20184,0,1,764,646,21,97,.84554976,.027486911,.12696335
20186,0,7,14854,11528,1470,1123,.77608722,.098963246,.075602531
20187,1,3,16179,14596,611,443,.90215713,.037765004,.027381172
20190,0,23,18274,11369,1943,2330,.62214077,.10632592,.12750356
20191,0,8,29021,16506,2858,5394,.56876057,.098480411,.1858654
20194,0,3,13319,10128,464,866,.76041746,.034837451,.065019898
20197,1,0,1667,1500,19,133,.89982003,.01139772,.079784043
20198,0,1,2316,1570,75,607,.67789292,.03238342,.26208982
20601,1,5,25881,10142,12595,1101,.3918705,.48665044,.042540859
20602,0,12,26647,8707,13710,1899,.32675347,.51450443,.071265057
20603,0,11,31733,9228,17168,2145,.29080138,.54101408,.067595251
20606,0,0,408,385,14,9,.94362748,.034313727,.022058824
20607,1,2,9730,1943,6758,318,.19969167,.69455296,.032682426
20608,0,0,744,365,344,11,.49059141,.4623656,.014784946
20609,1,0,1090,979,2,20,.89816517,.0018348624,.018348623
20611,0,0,945,677,127,37,.71640211,.13439153,.039153438
20612,0,0,372,338,0,0,.90860218,0,0
20613,0,4,14284,4862,7883,874,.34038085,.55187625,.061187342
20615,0,0,433,433,0,0,1,0,0
20616,1,0,6604,2485,3502,234,.3762871,.5302847,.035433073
20617,0,1,969,715,128,0,.73787409,.13209495,0
20618,0,0,811,632,179,0,.77928483,.22071517,0
20619,0,6,10886,8534,861,651,.7839427,.079092413,.059801579
20620,0,1,1291,864,267,105,.66924864,.20681642,.081332304
20621,0,1,1385,680,583,79,.49097472,.42093864,.057039712
20622,1,1,4781,3711,752,74,.77619743,.15728927,.015477934
20623,0,1,2773,545,1832,59,.19653805,.66065633,.021276595
20624,1,0,1229,1171,58,0,.95280719,.047192838,0
20625,1,0,630,587,8,0,.93174601,.012698413,0
20626,0,0,247,221,26,0,.89473683,.10526316,0
20628,0,0,133,133,0,0,1,0,0
20629,0,0,263,206,0,57,.78326994,0,.21673004
20630,1,0,291,291,0,0,1,0,0
20632,1,0,359,301,46,0,.83844012,.1281337,0
20634,0,3,6769,4492,1628,332,.66361356,.2405082,.049047127
20636,0,3,10280,9160,506,195,.89105058,.049221791,.018968871
20637,0,4,5102,3801,792,144,.74500197,.15523325,.028224226
20639,0,11,14682,11848,1917,165,.80697453,.13056804,.011238251
20640,1,6,10579,4853,4688,204,.45873901,.44314209,.019283487
20645,0,0,1117,896,151,36,.80214864,.13518353,.032229185
20646,0,10,18937,13409,3660,955,.7080847,.19327243,.050430376
20650,0,6,13472,11540,1217,306,.85659146,.090335511,.022713777
20653,1,8,25580,14469,6705,1996,.56563723,.26211885,.078029707
20657,1,5,19639,15481,2634,762,.7882784,.13412088,.038800348
20658,0,1,1005,721,219,15,.71741295,.21791045,.014925373
20659,0,8,24010,20194,2293,667,.84106624,.095501877,.027780091
20660,0,1,28,28,0,0,1,0,0
20662,0,1,2836,1810,1014,12,.63822287,.35754585,.0042313118
20664,1,1,2746,2045,566,32,.74471956,.20611799,.011653314
20667,0,1,485,379,20,25,.7814433,.041237112,.051546391
20670,1,0,1421,871,181,222,.61294866,.12737508,.15622801
20674,0,0,813,749,0,0,.92127919,0,0
20675,0,1,1398,942,264,21,.67381972,.18884121,.015021459
20676,1,2,4478,3913,498,43,.87382758,.11121036,.0096025011
20677,1,0,2270,1764,404,15,.77709252,.17797357,.0066079297
