ZCTA,ZIP_type,ZIP_type_label
20105,2,Suburban
20106,3,Rural
20109,2,Suburban
20110,2,Suburban
20111,2,Suburban
20112,2,Suburban
20115,3,Rural
20117,3,Rural
20118,2,Suburban
20119,3,Rural
20120,2,Suburban
20121,2,Suburban
20124,2,Suburban
20129,3,Rural
20130,3,Rural
20132,3,Rural
20135,3,Rural
20136,2,Suburban
20137,3,Rural
20139,3,Rural
20141,3,Rural
20143,3,Rural
20144,3,Rural
20147,2,Suburban
20148,2,Suburban
20151,2,Suburban
20152,2,Suburban
20155,2,Suburban
20158,2,Suburban
20164,2,Suburban
20165,2,Suburban
20166,2,Suburban
20169,2,Suburban
20170,2,Suburban
20171,2,Suburban
20175,2,Suburban
20176,2,Suburban
20180,3,Rural
20181,3,Rural
20184,3,Rural
20186,3,Rural
20187,2,Suburban
20190,2,Suburban
20191,2,Suburban
20194,2,Suburban
20197,3,Rural
20198,3,Rural
20601,2,Suburban
20602,2,Suburban
20603,2,Suburban
20606,3,Rural
20607,2,Suburban
20608,3,Rural
20609,3,Rural
20611,3,Rural
20612,2,Suburban
20613,3,Rural
20615,2,Suburban
20616,2,Suburban
20617,3,Rural
20618,3,Rural
20619,2,Suburban
20620,2,Suburban
20621,3,Rural
20622,3,Rural
20623,2,Suburban
20624,3,Rural
20625,2,Suburban
20626,2,Suburban
20628,3,Rural
20629,2,Suburban
20630,3,Rural
20632,3,Rural
20634,2,Suburban
20636,3,Rural
20637,3,Rural
20639,2,Suburban
20640,3,Rural
20645,2,Suburban
20646,3,Rural
20650,3,Rural
20653,2,Suburban
20657,2,Suburban
20658,2,Suburban
20659,3,Rural
20660,3,Rural
20662,3,Rural
20664,3,Rural
20667,3,Rural
20670,3,Rural
20674,2,Suburban
20675,3,Rural
20676,3,Rural
20677,3,Rural
20678,3,Rural
20680,3,Rural
20684,3,Rural
20685,3,Rural
20686,3,Rural
20687,3,Rural
20688,2,Suburban
20689,3,Rural
20690,2,Suburban
20692,3,Rural
20693,3,Rural
20695,2,Suburban
20701,3,Rural
20705,2,Suburban
20706,2,Suburban
20707,2,Suburban
20708,2,Suburban
20710,2,Suburban
20711,3,Rural
20712,2,Suburban
20714,2,Suburban
20715,2,Suburban
20716,2,Suburban
20720,2,Suburban
20721,2,Suburban
20722,2,Suburban
20723,2,Suburban
20724,2,Suburban
20732,2,Suburban
20733,2,Suburban
20735,2,Suburban
20736,2,Suburban
20737,2,Suburban
20740,2,Suburban
20742,3,Rural
20743,2,Suburban
20744,2,Suburban
20745,2,Suburban
20746,2,Suburban
20747,2,Suburban
20748,2,Suburban
20751,2,Suburban
20754,2,Suburban
20755,2,Suburban
20758,3,Rural
20759,2,Suburban
20762,2,Suburban
20763,2,Suburban
20764,2,Suburban
20765,2,Suburban
20769,2,Suburban
20770,2,Suburban
20772,2,Suburban
20774,2,Suburban
20776,3,Rural
20777,2,Suburban
20778,3,Rural
20779,3,Rural
20781,2,Suburban
20782,1,Urban
20783,1,Urban
20784,2,Suburban
20785,2,Suburban
20794,2,Suburban
20812,2,Suburban
20814,1,Urban
20815,2,Suburban
20816,2,Suburban
20817,2,Suburban
20818,2,Suburban
20832,2,Suburban
20833,2,Suburban
20837,3,Rural
20838,3,Rural
20839,3,Rural
20841,2,Suburban
20842,3,Rural
20850,2,Suburban
20851,2,Suburban
20852,1,Urban
20853,2,Suburban
20854,2,Suburban
20855,2,Suburban
20860,2,Suburban
20861,2,Suburban
20862,3,Rural
20866,2,Suburban
20868,2,Suburban
20871,2,Suburban
20872,2,Suburban
20874,2,Suburban
20876,2,Suburban
20877,1,Urban
20878,2,Suburban
20879,2,Suburban
20880,2,Suburban
20882,2,Suburban
20886,1,Urban
20895,2,Suburban
20896,2,Suburban
20899,2,Suburban
20901,1,Urban
20902,2,Suburban
20903,2,Suburban
20904,2,Suburban
20905,2,Suburban
20906,2,Suburban
20910,1,Urban
20912,2,Suburban
21001,2,Suburban
21005,2,Suburban
21009,2,Suburban
21010,3,Rural
21012,2,Suburban
21013,2,Suburban
21014,2,Suburban
21015,2,Suburban
21017,2,Suburban
21028,3,Rural
21029,2,Suburban
21030,2,Suburban
21031,3,Rural
21032,2,Suburban
21034,3,Rural
21035,3,Rural
21036,2,Suburban
21037,2,Suburban
21040,2,Suburban
21042,2,Suburban
21043,2,Suburban
21044,2,Suburban
21045,2,Suburban
21046,2,Suburban
21047,2,Suburban
21048,2,Suburban
21050,2,Suburban
21051,2,Suburban
21052,2,Suburban
21053,3,Rural
21054,2,Suburban
21056,2,Suburban
21057,3,Rural
21060,2,Suburban
21061,2,Suburban
21071,2,Suburban
21074,2,Suburban
21075,2,Suburban
21076,2,Suburban
21077,2,Suburban
21078,2,Suburban
21082,3,Rural
21084,2,Suburban
21085,2,Suburban
21087,2,Suburban
21090,2,Suburban
21093,2,Suburban
21102,3,Rural
21104,2,Suburban
21105,3,Rural
21108,2,Suburban
21111,3,Rural
21113,2,Suburban
21114,2,Suburban
21117,2,Suburban
21120,3,Rural
21122,2,Suburban
21128,2,Suburban
21130,2,Suburban
21131,2,Suburban
21132,3,Rural
21133,2,Suburban
21136,2,Suburban
21140,2,Suburban
21144,2,Suburban
21146,2,Suburban
21152,3,Rural
21153,2,Suburban
21154,3,Rural
21155,3,Rural
21156,3,Rural
21157,2,Suburban
21158,3,Rural
21160,3,Rural
21161,3,Rural
21162,2,Suburban
21163,2,Suburban
21201,1,Urban
21202,1,Urban
21204,2,Suburban
21205,1,Urban
21206,1,Urban
21207,2,Suburban
21208,2,Suburban
21209,2,Suburban
21210,1,Urban
21211,1,Urban
21212,1,Urban
21213,1,Urban
21214,1,Urban
21215,1,Urban
21216,1,Urban
21217,1,Urban
21218,1,Urban
21219,2,Suburban
21220,2,Suburban
21221,2,Suburban
21222,2,Suburban
21223,1,Urban
21224,1,Urban
21225,1,Urban
21226,2,Suburban
21227,2,Suburban
21228,2,Suburban
21229,1,Urban
21230,1,Urban
21231,1,Urban
21234,1,Urban
21236,2,Suburban
21237,2,Suburban
21239,1,Urban
21240,3,Rural
21244,2,Suburban
21250,3,Rural
21251,3,Rural
21252,3,Rural
21286,2,Suburban
21401,2,Suburban
21402,2,Suburban
21403,2,Suburban
21405,2,Suburban
21409,2,Suburban
21502,2,Suburban
21520,3,Rural
21521,3,Rural
21522,3,Rural
21523,2,Suburban
21524,3,Rural
21529,3,Rural
21530,3,Rural
21531,3,Rural
21532,3,Rural
21536,3,Rural
21538,3,Rural
21539,3,Rural
21540,2,Suburban
21541,3,Rural
21542,2,Suburban
21543,3,Rural
21545,3,Rural
21550,3,Rural
21555,3,Rural
21557,3,Rural
21561,3,Rural
21562,3,Rural
21601,3,Rural
21607,3,Rural
21610,3,Rural
21612,3,Rural
21613,3,Rural
21617,3,Rural
21619,2,Suburban
21620,3,Rural
21622,3,Rural
21623,3,Rural
21624,3,Rural
21625,3,Rural
21626,3,Rural
21627,3,Rural
21628,2,Suburban
21629,3,Rural
21631,3,Rural
21632,3,Rural
21634,3,Rural
21635,3,Rural
21636,3,Rural
21638,2,Suburban
21639,3,Rural
21640,3,Rural
21641,2,Suburban
21643,3,Rural
21644,3,Rural
21645,3,Rural
21647,3,Rural
21648,3,Rural
21649,3,Rural
21650,3,Rural
21651,3,Rural
21652,2,Suburban
21653,2,Suburban
21654,3,Rural
21655,3,Rural
21657,3,Rural
21658,3,Rural
21659,3,Rural
21660,3,Rural
21661,3,Rural
21662,3,Rural
21663,2,Suburban
21664,2,Suburban
21665,3,Rural
21666,2,Suburban
21667,3,Rural
21668,3,Rural
21669,3,Rural
21671,2,Suburban
21672,3,Rural
21673,3,Rural
21675,3,Rural
21676,3,Rural
21677,3,Rural
21678,3,Rural
21679,3,Rural
21701,2,Suburban
21702,2,Suburban
21703,2,Suburban
21704,2,Suburban
21705,3,Rural
21710,3,Rural
21711,3,Rural
21713,3,Rural
21714,2,Suburban
21716,2,Suburban
21717,3,Rural
21718,2,Suburban
21719,2,Suburban
21722,3,Rural
21723,3,Rural
21727,3,Rural
21733,3,Rural
21734,2,Suburban
21737,3,Rural
21738,2,Suburban
21740,2,Suburban
21742,2,Suburban
21746,3,Rural
21750,3,Rural
21754,3,Rural
21755,3,Rural
21756,3,Rural
21757,3,Rural
21758,3,Rural
21762,2,Suburban
21766,3,Rural
21767,2,Suburban
21769,3,Rural
21770,2,Suburban
21771,2,Suburban
21773,3,Rural
21774,2,Suburban
21776,3,Rural
21777,2,Suburban
21778,3,Rural
21779,3,Rural
21780,3,Rural
21781,3,Rural
21782,3,Rural
21783,3,Rural
21784,2,Suburban
21787,3,Rural
21788,3,Rural
21790,3,Rural
21791,3,Rural
21793,2,Suburban
21794,3,Rural
21795,2,Suburban
21797,3,Rural
21798,3,Rural
21801,2,Suburban
21802,3,Rural
21804,2,Suburban
21810,3,Rural
21811,3,Rural
21813,3,Rural
21814,3,Rural
21817,2,Suburban
21821,3,Rural
21822,3,Rural
21824,3,Rural
21826,2,Suburban
21829,3,Rural
21830,3,Rural
21835,3,Rural
21837,3,Rural
21838,3,Rural
21840,3,Rural
21841,3,Rural
21842,2,Suburban
21849,3,Rural
21850,3,Rural
21851,3,Rural
21853,3,Rural
21856,3,Rural
21861,2,Suburban
21862,3,Rural
21863,3,Rural
21864,3,Rural
21865,3,Rural
21866,2,Suburban
21867,3,Rural
21869,3,Rural
21871,3,Rural
21872,3,Rural
21874,3,Rural
21875,2,Suburban
21890,3,Rural
21901,2,Suburban
21902,3,Rural
21903,2,Suburban
21904,2,Suburban
21911,2,Suburban
21912,3,Rural
21913,2,Suburban
21914,2,Suburban
21915,3,Rural
21916,3,Rural
21917,2,Suburban
21918,3,Rural
21919,3,Rural
21920,2,Suburban
21921,2,Suburban
21930,3,Rural
22003,2,Suburban
22015,2,Suburban
22025,2,Suburban
22026,2,Suburban
22027,2,Suburban
22030,2,Suburban
22031,2,Suburban
22032,2,Suburban
22033,2,Suburban
22035,3,Rural
22039,2,Suburban
22041,1,Urban
22042,2,Suburban
22043,2,Suburban
22044,2,Suburban
22046,2,Suburban
22060,2,Suburban
22066,2,Suburban
22079,2,Suburban
22101,2,Suburban
22102,2,Suburban
22124,2,Suburban
22125,2,Suburban
22134,2,Suburban
22150,2,Suburban
22151,2,Suburban
22152,2,Suburban
22153,2,Suburban
22172,2,Suburban
22180,2,Suburban
22181,2,Suburban
22182,2,Suburban
22185,3,Rural
22191,2,Suburban
22192,2,Suburban
22193,2,Suburban
22201,1,Urban
22202,1,Urban
22203,1,Urban
22204,1,Urban
22205,1,Urban
22206,1,Urban
22207,1,Urban
22209,1,Urban
22211,3,Rural
22213,1,Urban
22214,3,Rural
22301,1,Urban
22302,1,Urban
22303,2,Suburban
22304,1,Urban
22305,1,Urban
22306,2,Suburban
22307,2,Suburban
22308,2,Suburban
22309,2,Suburban
22310,2,Suburban
22311,1,Urban
22312,1,Urban
22314,1,Urban
22315,2,Suburban
22401,2,Suburban
22405,2,Suburban
22406,3,Rural
22407,2,Suburban
22408,2,Suburban
22427,3,Rural
22432,3,Rural
22433,3,Rural
22435,3,Rural
22436,3,Rural
22437,3,Rural
22438,3,Rural
22443,3,Rural
22448,3,Rural
22454,3,Rural
22460,3,Rural
22469,3,Rural
22473,3,Rural
22476,3,Rural
22480,2,Suburban
22482,3,Rural
22485,3,Rural
22488,3,Rural
22503,3,Rural
22504,3,Rural
22508,3,Rural
22509,3,Rural
22511,3,Rural
22514,3,Rural
22520,3,Rural
22529,3,Rural
22530,3,Rural
22534,3,Rural
22535,3,Rural
22538,3,Rural
22539,3,Rural
22542,3,Rural
22546,3,Rural
22548,3,Rural
22551,3,Rural
22553,2,Suburban
22554,2,Suburban
22556,2,Suburban
22560,3,Rural
22567,3,Rural
22572,3,Rural
22576,3,Rural
22578,3,Rural
22579,3,Rural
22580,3,Rural
22601,2,Suburban
22602,3,Rural
22603,3,Rural
22610,3,Rural
22611,3,Rural
22620,3,Rural
22623,2,Suburban
22624,3,Rural
22625,3,Rural
22627,3,Rural
22630,3,Rural
22637,3,Rural
22639,3,Rural
22640,3,Rural
22641,3,Rural
22642,3,Rural
22643,3,Rural
22644,3,Rural
22645,3,Rural
22646,3,Rural
22650,3,Rural
22652,3,Rural
22654,3,Rural
22655,2,Suburban
22656,2,Suburban
22657,3,Rural
22660,3,Rural
22663,3,Rural
22664,3,Rural
22701,3,Rural
22709,3,Rural
22711,3,Rural
22712,3,Rural
22713,3,Rural
22714,3,Rural
22715,3,Rural
22716,3,Rural
22718,3,Rural
22719,3,Rural
22720,3,Rural
22722,3,Rural
22723,3,Rural
22724,3,Rural
22726,3,Rural
22727,3,Rural
22728,3,Rural
22729,3,Rural
22730,3,Rural
22731,3,Rural
22732,3,Rural
22733,3,Rural
22734,3,Rural
22735,3,Rural
22736,3,Rural
22737,3,Rural
22738,3,Rural
22740,3,Rural
22741,3,Rural
22742,3,Rural
22743,3,Rural
22747,3,Rural
22749,3,Rural
22801,1,Urban
22802,2,Suburban
22807,3,Rural
22810,3,Rural
22811,3,Rural
22812,3,Rural
22815,3,Rural
22820,3,Rural
22821,3,Rural
22824,3,Rural
22827,3,Rural
22830,3,Rural
22831,3,Rural
22832,3,Rural
22834,3,Rural
22835,3,Rural
22840,3,Rural
22841,3,Rural
22842,3,Rural
22843,3,Rural
22844,3,Rural
22845,3,Rural
22846,3,Rural
22847,3,Rural
22849,3,Rural
22850,3,Rural
22851,3,Rural
22853,3,Rural
22901,2,Suburban
22902,1,Urban
22903,2,Suburban
22904,3,Rural
22911,2,Suburban
22920,3,Rural
22922,3,Rural
22923,3,Rural
22931,3,Rural
22932,3,Rural
22935,3,Rural
22936,3,Rural
22937,3,Rural
22938,3,Rural
22939,2,Suburban
22940,3,Rural
22942,3,Rural
22943,3,Rural
22946,3,Rural
22947,3,Rural
22948,3,Rural
22949,3,Rural
22952,3,Rural
22958,3,Rural
22959,3,Rural
22960,3,Rural
22963,3,Rural
22964,3,Rural
22967,3,Rural
22968,3,Rural
22969,3,Rural
22971,3,Rural
22972,3,Rural
22973,3,Rural
22974,3,Rural
22976,3,Rural
22980,2,Suburban
22989,3,Rural
23002,3,Rural
23004,3,Rural
23005,3,Rural
23009,3,Rural
23011,3,Rural
23015,3,Rural
23021,3,Rural
23022,3,Rural
23023,3,Rural
