_id,zip,name,address,city,state,Licensed or QRIS rating,qris,tier,latitude,longitude
1,20105,BOYD SCHOOL - ALDIE CAMPUS ,24328 GOSHEN ROAD,ALDIE,VA,Licensed,VA Licensed,0,38.9442441,-77.5625812
2,20105,GOOD BEGINNINGS SCHOOL: STONE RIDGE CAMPUS ,24194 MILLSTREAM DRIVE,ALDIE,VA,Licensed,VA Licensed,0,38.9352042,-77.556224
3,20105,MINNIELAND ACADEMY @ KIRKPATRICK FARMS ,25375 SUPREME DRIVE,ALDIE,VA,Licensed,VA Licensed,0,38.9161635,-77.5565498
4,20105,MINNIELAND ACADEMY @ STONE RIDGE ,24859 SERPENTINE PLACE,ALDIE,VA,Licensed,VA Licensed,0,38.9292637,-77.5514852
5,20109,Prince William County Head Start @ West Gate Elem ,2249 Halifax St,Manassas,VA,4 Star,VA 4 Star,3,38.7855623,-77.5275463
6,20109,Prince William County Head Start @ Sinclair Elem ,7 North Court Street,Manassas,VA,4 Star,VA 4 Star,3,38.7352016,-77.4726306
7,20109,CATERPILLAR CLUBHOUSE ,10312 BATTLEVIEW PARKWAY,MANASSAS,VA,Licensed,VA Licensed,0,38.8067546,-77.513795
8,20109,CHILDREN OF AMERICA: MANASSAS (BULL RUN) ,11730 SUDLEY MANOR DRIVE,MANASSAS,VA,Licensed,VA Licensed,0,38.7872807,-77.5184001
9,20109,KINDERCARE @ SUDLEY MANOR ,10496 SUDLEY MANOR DRIVE,MANASSAS,VA,Licensed,VA Licensed,0,38.7889375,-77.5105851
10,20109,THE LEARNING EXPERIENCE ,8120 ASHTON AVENUE,MANASSAS,VA,Licensed,VA Licensed,0,38.7821513,-77.5180309
11,20109,PRINCE WILLIAM PARKS & REC: BEN LOMOND COMMUNITY CNTR ,10501 COPELAND DRIVE,MANASSAS,VA,Licensed Preschool/Head Start,VA Licensed Preschool/Head Start,0,38.7897963,-77.5056589
12,20110,Minnieland Academy @ Technology ,105 Central Circle,Manassas,VA,3 Star,VA 3 Star,2,38.7413699,-77.5003819
13,20110,Nvfs Head Start Program: Georgetown South Ehs Cdc ,10628 Courthouse Rd,Manassas,VA,3 Star,VA 3 Star,2,38.7521033,-77.4821364
14,20110,Minnieland Academy @ Wellington ,180 Copeley Rd.,Manassas,VA,4 Star,VA 4 Star,3,38.7509488,-77.4752667
15,20110,123ABC LITTLE LEARNERS ACADEMY ,9110 RAILROAD DR,MANASSAS,VA,Licensed,VA Licensed,0,38.7636257,-77.441222
16,20110,ALL SAINTS SCHOOL EXTENDED DAY & PRE-KINDERGARTEN PROGRAM ,9294 STONEWALL ROAD,MANASSAS,VA,Licensed,VA Licensed,0,38.7535953,-77.4864917
17,20110,APPLE TREE PRESCHOOL ,8485 PLANTATION LANE,MANASSAS,VA,Licensed,VA Licensed,0,38.770497,-77.480544
18,20110,CAROUSEL CHILD DEVELOPMENT CENTER ,9151 CENTREVILLE ROAD,MANASSAS,VA,Licensed,VA Licensed,0,38.754765,-77.464018
19,20110,CHESTERBROOK ACADEMY ,10951 SAMUEL TREXLER DRIVE,MANASSAS,VA,Licensed,VA Licensed,0,38.7386527,-77.5237063
20,20110,CHILDREN OF AMERICA: MANASSAS ,9655 LIBERIA AVENUE,MANASSAS,VA,Licensed,VA Licensed,0,38.7485769,-77.4494708
21,20110,CHILDTIME CHILDREN'S CENTER ,8461 SIGNAL HILL ROAD,MANASSAS,VA,Licensed,VA Licensed,0,38.748547,-77.4511015
22,20110,FREEDOM AQUATIC PRESCHOOL & SUMMER CAMPS ,10900 UNIVERSITY BOULEVARD,MANASSAS,VA,Licensed,VA Licensed,0,38.7564145,-77.5213804
23,20110,GRACE CHILDREN'S LEARNING CENTER ,9750 WELLINGTON ROAD,MANASSAS,VA,Licensed,VA Licensed,0,38.7383142,-77.4766728
24,20110,LA PETITE ACADEMY: MANASSAS ,10023 DUMFRIES ROAD,MANASSAS,VA,Licensed,VA Licensed,0,38.7383672,-77.4713698
25,20110,LEARNING TREE ACADEMY ,9840 GRANT AVENUE,MANASSAS,VA,Licensed,VA Licensed,0,38.741417,-77.471886
26,20110,MANASSAS CHRISTIAN ACADEMY ,8757 SIGNAL HILL DRIVE,MANASSAS,VA,Licensed,VA Licensed,0,38.748478,-77.4627
27,20110,MINNIELAND ACADEMY @ TECHNOLOGY ,9511 TECHNOLOGY DRIVE,MANASSAS,VA,Licensed,VA Licensed,0,38.749351,-77.49467
28,20110,MINNIELAND ACADEMY @ WELLINGTON ,10249 HENDLEY ROAD,MANASSAS,VA,Licensed,VA Licensed,0,38.7351691,-77.4774881
29,20110,ROBERT DAY CHILD CARE CENTER ,9208 CENTREVILLE ROAD,MANASSAS,VA,Licensed,VA Licensed,0,38.7548559,-77.4672889
30,20110,SEVEN OAKS ACADEMY ,8653 SUDLEY ROAD,MANASSAS,VA,Licensed,VA Licensed,0,38.769214,-77.485663
31,20110,"THE COMPASS SCHOOL OF MANASSAS, INC. ",9811 GODWIN DRIVE,MANASSAS,VA,Licensed,VA Licensed,0,38.743029,-77.5112951
32,20110,VENUS CHILD CARE & LEARNING CENTER ,8610 MATHIS AVE,MANASSAS,VA,Licensed,VA Licensed,0,38.768991,-77.456143
33,20110,"ALPHA-BET PRESCHOOL, INC. ",10047 NOKESVILLE ROAD,MANASSAS,VA,Licensed Preschool/Head Start,VA Licensed Preschool/Head Start,0,38.7479827,-77.4996583
