STATEFIPS,STATE,ZIPCODE,AGI_STUB,N1,MARS2,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N07100,A07100,N07220,A07220,N07180,A07180,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N09600,A09600,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
8,CO,0,0,2239758,915962,1126285,4588775,1421144,141215293,1899652,99553213,866000,2102123,497098,2895237,440459,2074661,377781,4591396,24870,399658,7349722,206459,3407116,407126,9457930,201984,1821516,233197,2635016,15410,282997,881287,21605948,740100,3709656,110261,131902,802672,1914858,877796,6048696,754940,8831434,714696,2917621,1781138,96117312,797587,1063697,393530,493897,97914,49508,112115,99076,344502,691294,295287,601786,294976,429814,53277,321281,1574972,17187370,1696448,18107332,439334,1857525,1737106,5410496
8,CO,80002,0,8584,2856,4152,16318,4741,414016,7374,317230,2914,4119,1436,3605,1227,2185,1356,14554,21,1095,3183,674,9045,1411,27407,802,7332,740,7600,38,608,2900,56652,2443,8817,350,320,2614,5246,2885,15238,2495,25775,2296,6322,6715,266890,2626,3082,1287,1439,281,138,372,336,1432,2986,1226,2600,1210,1777,102,309,5953,42131,6449,44910,1522,4393,6844,17446
8,CO,80003,0,17177,6137,8202,32790,9586,774786,14823,613721,5500,5420,2579,3821,2177,2427,2415,20651,0,1731,3209,1543,17962,3212,62566,1886,17469,1840,18163,45,463,6169,105964,5228,14827,710,735,5698,8979,6156,26295,5539,52164,4819,9333,13899,484138,5778,6805,3095,3909,667,348,974,731,2852,5556,2451,4847,2111,2758,70,196,12336,67258,13212,71523,3108,6348,13688,32418
8,CO,80004,0,17169,7194,8531,32811,9239,978050,13891,703129,7816,13549,4239,22878,3669,18037,2714,26772,47,3146,13404,2287,31340,4107,94572,1483,13543,2598,27457,79,1055,7261,146622,6025,22292,1009,1121,6685,12985,7234,38597,6209,62966,6068,17776,14105,653421,6076,7367,2925,3855,759,394,1201,1033,2103,4005,1729,3383,1456,1859,220,1253,12887,102585,13730,108201,3587,10985,12983,32870
8,CO,80005,0,13029,6295,6417,25730,7330,945594,10888,686467,6783,10048,3858,11682,3348,7891,2341,29143,73,2952,23649,1669,25705,3116,83198,1010,10301,1912,22905,113,2036,6893,154902,5848,26062,830,894,6485,15578,6878,44983,6048,68034,6047,18926,11167,661047,5016,6610,2195,2989,604,316,1128,1047,955,1667,768,1360,654,779,320,1393,10475,112866,10947,118367,3078,11352,9522,27717
8,CO,80007,0,3413,2015,1926,7497,2412,417440,2830,274699,2314,4815,1521,10601,1382,7347,700,12688,23,1276,26817,478,9868,825,26713,205,2029,535,7252,71,1470,2276,71699,1979,14763,243,500,2171,8375,2266,24669,1974,30536,2064,9031,2944,313518,1402,2186,457,617,230,105,267,342,130,197,98,158,111,134,336,1593,2811,64512,2917,66968,992,6953,2310,10265
8,CO,80010,0,15120,4294,9233,40969,16595,415621,13357,341548,2027,2547,732,1519,605,876,1892,15328,0,474,1850,528,4431,1423,26452,1487,12466,749,6186,0,0,2212,33412,1825,3722,290,1038,1874,1805,2207,7069,1894,15066,1514,3204,8836,173815,4481,3851,3168,2730,324,192,306,213,4669,12034,4313,10704,6761,11537,23,88,6089,20180,7289,22683,1433,2385,13454,38096
8,CO,80011,0,19754,6190,11228,47390,17626,645599,17118,515207,3660,3820,1392,2803,1145,1742,2612,20221,22,874,1700,1034,10311,2895,53545,2149,19413,1484,12591,0,0,4184,100178,3405,7425,572,821,3615,3816,4160,13239,3575,30007,3105,6996,13585,323836,6363,6258,4050,4131,560,309,519,379,5534,13343,4987,11719,6261,10145,34,123,10425,39904,12092,43752,2579,4780,16818,45733
8,CO,80012,0,20997,6187,11266,44552,14848,779980,18161,611060,4970,5709,2339,5015,1996,3053,2781,22474,21,1566,2768,1443,16224,3411,73427,2071,18647,1853,18697,46,517,5511,90173,4556,11239,734,655,4805,5245,5488,18695,4691,40263,4291,11506,15501,441211,6997,7102,3912,3976,730,374,785,601,4960,10927,4396,9662,5065,7745,63,181,12614,58729,13974,63114,3390,6951,17178,43818
8,CO,80013,0,32246,12926,14572,68021,22848,1632677,29169,1384720,9852,6214,4386,5860,3710,3601,4836,36464,37,3112,3324,2097,25643,5418,101870,3326,31971,2366,24087,70,661,14031,254027,12202,35936,1344,2883,12867,19762,13974,62763,12914,128710,11122,25703,26782,1022754,12765,16511,7497,9698,2188,1144,1711,1190,5190,10695,4469,9126,4565,6560,182,474,23408,142053,25173,150431,5766,12907,25968,68200
