ZCTA5,LANDSQMT,WATERSQMT,LANDSQMI,WATERSQMI,POPULATION,HSGUNITS,INTPTLAT,INTPTLON,,
00601,166659789,799296,64.34770702,0.308609924,18570,7744,18.180556,-66.749961,,
00602,79288158,4446273,30.61333025,1.716715676,41520,18073,18.362268,-67.17613,,
00603,81880442,183425,31.61421675,0.070820791,54689,25653,18.455183,-67.119887,,
00606,109580061,12487,42.30909989,0.004821258,6615,2877,18.158345,-66.932911,,
00610,93021467,4172001,35.91579073,1.61081866,29016,12618,18.290955,-67.125868,,
00612,175106243,9809163,67.60890128,3.787339169,67010,30992,18.402239,-66.7114,,
00616,29870473,149147,11.53305459,0.057585981,11017,4896,18.420413,-66.671979,,
00617,39347158,3987969,15.19202328,1.539763505,24597,10594,18.445146,-66.559696,,
00622,75077028,1694917,28.9874038,0.65441114,7853,8714,17.991245,-67.153993,,
00623,98367847,1633540,37.98003968,0.630713347,43061,21426,18.083435,-67.153877,,
00624,111791516,2524878,43.16294747,0.974860887,26241,9905,18.063275,-66.715966,,
00627,120058334,3507026,46.35478388,1.354070366,35159,14431,18.41503,-66.861879,,
00631,10414662,669970,4.02112365,0.258676874,1852,842,18.190607,-66.832041,,
00637,89226022,25323,34.45036116,0.009777265,25287,10962,18.076713,-66.947389,,
00638,171055117,493335,66.04475272,0.190477716,18941,7805,18.291088,-66.513306,,
00641,242237480,3466212,93.52841789,1.338311992,31191,13358,18.262962,-66.71402,,
00646,53611823,3321248,20.69964147,1.282341076,38199,16699,18.433167,-66.285941,,
00647,39379804,8013314,15.20462798,3.093957964,6172,3482,17.963614,-66.947127,,
00650,79052810,557181,30.52246188,0.215128796,14998,6124,18.349416,-66.578079,,
00652,17906137,16436,6.913598441,0.006345975,4715,1947,18.451935,-66.603113,,
00653,39477273,5203941,15.24226097,2.009252939,13307,6217,17.985452,-66.888933,,
00656,83968290,4356121,32.4203394,1.681907793,21481,8680,18.053539,-66.792931,,
00659,108211415,3039180,41.78066269,1.173434008,41953,17365,18.407221,-66.809008,,
00660,29380814,486,11.34399619,0.000187646,17250,7783,18.134645,-67.116158,,
00662,114907988,5341043,44.36622409,2.062188319,43282,20199,18.467481,-67.015974,,
00664,117897373,3405,45.52043214,0.001314678,16784,6590,18.213419,-66.589613,,
00667,156201164,28264208,60.30960916,10.91287218,25968,12508,18.003422,-67.03581,,
00669,159419203,168344,61.55210101,0.064997985,29744,12458,18.270899,-66.866375,,
00670,118025360,357819,45.5698482,0.138154694,9807,3973,18.236832,-66.990114,,
00674,116400264,6903390,44.9423951,2.665413894,44457,19409,18.422908,-66.489337,,
00676,130636635,56483,50.43908891,0.021808209,40316,16887,18.377751,-67.080344,,
00677,37137111,3594951,14.33871933,1.3880184,15272,9730,18.33256,-67.227006,,
00678,68274095,3796687,26.36077658,1.465909108,27819,11619,18.434099,-66.927384,,
00680,166248984,19828643,64.18909431,7.655882189,58140,27992,18.181938,-67.133802,,
00682,37348163,6330100,14.42020697,2.444065378,32615,15489,18.221443,-67.156062,,
00683,135168308,29361,52.18877771,0.011336346,33772,15219,18.1078,-67.037263,,
00685,200808224,2058239,77.53249204,0.794690555,42831,18877,18.332927,-66.959875,,
00687,100675764,140026,38.87113145,0.054064343,32610,12381,18.318386,-66.418034,,
00688,82401202,77467,31.81528331,0.029910177,13543,5353,18.382264,-66.626438,,
00690,7291346,12393,2.815204549,0.004784964,6255,2773,18.49551,-67.098671,,
00692,69307906,1999296,26.75993325,0.771932534,37511,16026,18.410187,-66.336556,,
00693,101838924,3653903,39.32023006,1.410779896,61038,25884,18.423023,-66.39723,,
00694,2043548,1957116,0.789018327,0.755646744,328,188,18.48237,-66.391079,,
00698,180309254,7761848,69.61779514,2.996866395,41782,17924,18.064848,-66.856319,,
00703,76855070,28384,29.67390969,0.010959124,28605,11417,18.248401,-66.130662,,
00704,12627769,1773833,4.875609076,0.684880779,8577,3871,17.96577,-66.219555,,
00705,82748292,72306,31.94929552,0.027917504,25598,10297,18.128961,-66.266683,,
00707,54561503,3816670,21.06631498,1.473624588,12225,5546,18.013648,-65.920712,,
00714,37859151,42765,14.61750054,0.01651166,19566,8871,18.000198,-66.042943,,
00715,20434129,150234,7.889661651,0.058005674,3656,1532,18.011233,-66.560065,,
00716,22081777,7967534,8.525822127,3.076282207,33779,14275,17.990567,-66.607542,,
00717,5417561,109099,2.091732085,0.042123361,18457,9518,18.003222,-66.614037,,
00718,117172329,3457285,45.24049108,1.334865258,26606,11970,18.231988,-65.759623,,
00719,72527843,898356,28.00315793,0.346857206,30990,11496,18.289927,-66.25344,,
00720,154368018,286519,59.6018275,0.110625609,23129,9059,18.217946,-66.428076,,
00723,119554076,1319657,46.16008877,0.509522438,19277,9358,18.043822,-66.015578,,
00725,109190812,1190612,42.15881,0.459697883,89374,38678,18.218819,-66.042375,,
00727,55827071,26963,21.55495354,0.010410473,58382,23679,18.215308,-66.073565,,
00728,40524719,21618806,15.64668215,8.347068017,44908,16698,17.989853,-66.664116,,
00729,87958918,364682,33.96112955,0.140804513,53750,21688,18.329829,-65.885142,,
00730,16850026,123834,6.505831687,0.047812577,35742,16253,18.030831,-66.616838,,
00731,123332268,3082106,47.61885692,1.19000783,15524,5962,18.108039,-66.634653,,
00735,60362550,1842364,23.30611184,0.711340748,13730,7749,18.252604,-65.682494,,
00736,142701655,79564,55.09741937,0.030719833,51532,22315,18.103624,-66.151667,,
00738,76243980,78712514,29.43796651,30.39107285,34922,18383,18.304458,-65.698711,,
00739,81792808,1113746,31.58038107,0.430019753,39678,15565,18.177266,-66.160577,,
00740,1103423,40886,0.42603402,0.015786174,2071,1008,18.331159,-65.63412,,
00741,6121151,2792707,2.363389715,1.078270247,4971,2196,18.163746,-65.754021,,
00745,133676216,6155023,51.61267774,2.376467767,55062,24529,18.35284,-65.817813,,
00751,121664561,29378177,46.97495162,11.34297804,23129,10808,18.001317,-66.252183,,
00754,132164302,241740,51.02892446,0.09333634,40828,17146,18.14713,-65.976289,,
00757,77246859,5609947,29.82518027,2.166012738,23263,9571,17.995441,-66.391334,,
00765,49309561,1749411,19.03852875,0.675451392,9098,5339,18.130096,-65.439369,,
00766,103701762,3739022,40.03947586,1.443644527,26488,9947,18.133196,-66.476916,,
00767,143501366,6805011,55.40618953,2.627429548,38019,15831,18.069413,-65.89649,,
00769,198168393,38999,76.51324755,0.015057599,40248,16612,18.1038,-66.357586,,
00771,87591047,32514,33.81909376,0.012553726,38394,16142,18.187201,-65.871196,,
00772,37975532,13639704,14.6624355,5.266319381,23105,10211,18.438969,-65.905174,,
00773,62964008,2572484,24.31054043,0.993241668,20068,10968,18.343799,-65.726378,,
00775,27344697,33437932,10.55784699,12.91045827,1786,1569,18.327485,-65.295977,,
00777,68844419,327723,26.58097991,0.126534563,40684,16867,18.224133,-65.908542,,
00778,76776403,1116806,29.64353619,0.431201226,45429,18127,18.263023,-65.979078,,
00780,52032587,838321,20.08989501,0.323677561,13800,5295,18.102834,-66.568105,,
00782,69008763,319734,26.64443349,0.123449993,19304,7535,18.225708,-66.221633,,
00783,108382318,16292,41.84664871,0.006290377,36557,13798,18.30391,-66.326179,,
00784,143887987,16278766,55.55546474,6.285266959,44637,19159,18.010721,-66.133613,,
00786,666250,0,0.257240574,0,357,145,18.155424,-66.229907,,
00791,95711037,2868576,36.95423956,1.107563433,53417,25871,18.136752,-65.821487,,
00794,91419799,77809,35.29738323,0.030042224,30585,11502,18.199014,-66.309782,,
00795,119811901,958123,46.25963557,0.369933374,48736,19196,18.060532,-66.499473,,
00901,2534091,30548,0.978418047,0.011794649,7080,4990,18.465424,-66.104724,,
00906,8247,0,0.003184185,0,4,168,18.46446,-66.094995,,
00907,3132947,347421,1.209637651,0.134140004,17458,13224,18.452679,-66.078113,,
00909,1575598,49304,0.608341815,0.019036382,6230,3805,18.44161,-66.067132,,
00911,1245504,0,0.480891803,0,8623,6096,18.451128,-66.056223,,
00912,854044,0,0.329748246,0,6801,3884,18.445289,-66.060139,,
00913,843188,0,0.325556721,0,9312,4065,18.44997,-66.042664,,
00915,3601480,820884,1.390539261,0.316945098,32820,16538,18.437179,-66.045571,,
00917,3360017,46991,1.297309872,0.018143327,21053,12348,18.420673,-66.050105,,
00918,5520556,101247,2.131498679,0.039091687,18056,10850,18.421022,-66.065789,,
00920,7331380,135936,2.830661764,0.052485185,17893,9322,18.414292,-66.088042,,
00921,6931388,0,2.676223983,0,37763,17728,18.392273,-66.088552,,
00923,5283986,7303,2.040158487,0.002819704,29086,13969,18.409307,-66.038888,,
00924,12143485,1620,4.68862597,0.000625486,56691,24971,18.399196,-66.012452,,
00925,1158082,0,0.447137979,0,8696,5413,18.400296,-66.050602,,
00926,62575083,1052384,24.16037565,0.406327751,108862,47317,18.3454,-66.051545,,
00927,6804165,5831,2.627102905,0.002251362,14936,7893,18.387953,-66.072098,,
00934,1940428,26786,0.749203471,0.010342133,288,140,18.411313,-66.124234,,
00936,417955,0,0.161373335,0,681,4,18.395463,-66.073773,,
00949,45604190,2130451,17.60787695,0.822571765,82278,33340,18.430695,-66.212833,,
00950,6204986,1989345,2.39575859,0.768090431,9,5,18.463693,-66.234559,,
00951,1075640,29541,0.415306944,0.011405844,35,19,18.42753,-66.253789,,
00952,3207681,0,1.238492611,0,10008,4169,18.427441,-66.182032,,
00953,69144842,1365378,26.69697389,0.527175415,73014,26609,18.360727,-66.251526,,
00956,68564483,215310,26.47289601,0.083131659,79304,32550,18.319539,-66.168891,,
00957,11965797,1407,4.620020247,0.000543246,45680,18275,18.368533,-66.187693,,
00959,16609667,81790,6.413028555,0.031579297,50560,22445,18.388924,-66.154999,,
00960,2409664,2485,0.930376511,0.000959464,1779,0,18.416919,-66.145795,,
00961,13367398,205470,5.161181442,0.079332414,32429,13394,18.412229,-66.165168,,
00962,9876249,1152266,3.81324122,0.444892409,22491,8939,18.442299,-66.145357,,
00965,1689483,342594,0.652313061,0.132276289,9134,3848,18.433757,-66.114752,,
00966,8401213,4490,3.243726612,0.001733599,16676,7894,18.401536,-66.117584,,
00968,1180763,0,0.455895162,0,3478,2228,18.406077,-66.101223,,
00969,12622328,39797,4.873508294,0.015365708,42219,17775,18.368062,-66.108062,,
00971,41324409,94183,15.9554442,0.036364261,30986,12895,18.318832,-66.119215,,
00976,43356810,738172,16.74015864,0.285009815,65136,26564,18.336408,-65.994057,,
00979,4061150,504754,1.568018848,0.194886617,17030,12765,18.444388,-66.030129,,
00982,3654231,19111,1.410906537,0.007378799,16428,7402,18.411261,-65.992045,,
00983,8987630,622892,3.470143491,0.240499956,39234,16985,18.418007,-65.97707,,
00985,21083058,759741,8.140214549,0.293337653,36553,15241,18.408588,-65.946933,,
00987,64272333,453240,24.81568756,0.17499695,63661,25557,18.338161,-65.941083,,
01001,29635470,2229770,11.44231942,0.860919047,16769,7557,42.062332,-72.628274,,
01002,142556362,4280260,55.04132143,1.652617696,29049,10388,42.363977,-72.458507,,
01003,1842384,12788,0.71134847,0.004937475,10372,5,42.389941,-72.524108,,
01005,114586903,667042,44.24225247,0.257546367,5079,2044,42.418848,-72.106598,,
01007,136345999,6943853,52.64348677,2.681036746,14649,5839,42.27901,-72.400468,,
01008,139331467,5086093,53.79618245,1.96375157,1263,586,42.191846,-72.957325,,
01009,2065002,23,0.797301764,8.88035E-06,741,341,42.211969,-72.341433,,
01010,89982811,1420260,34.74255904,0.548365475,3609,1598,42.129477,-72.205302,,
01011,81884563,342573,31.61580787,0.13226818,1370,659,42.300281,-72.968716,,
