_id	zip	name	state	tier	latitude	longitude	zcta	black	latino	meanearnin	density
1	20105	BOYD SCHOOL - ALDIE CAMPUS	51	0	38.9442441	-77.5625812	20105	0.093150685	0.07565179	123	304.7428005
2	20105	GOOD BEGINNINGS SCHOOL: STONE RIDGE CAMPUS	51	0	38.9352042	-77.556224	20105	0.093150685	0.07565179	123	304.7428005
3	20105	MINNIELAND ACADEMY @ KIRKPATRICK FARMS	51	0	38.9161635	-77.5565498	20105	0.093150685	0.07565179	123	304.7428005
4	20105	MINNIELAND ACADEMY @ STONE RIDGE	51	0	38.9292637	-77.5514852	20105	0.093150685	0.07565179	123	304.7428005
5	20109	Prince William County Head Start @ West Gate Elem	51	3	38.7855623	-77.5275463	20109	0.171903931	0.361438347	63	1818.686566
6	20109	Prince William County Head Start @ Sinclair Elem	51	3	38.7352016	-77.4726306	20109	0.171903931	0.361438347	63	1818.686566
7	20109	CATERPILLAR CLUBHOUSE	51	0	38.8067546	-77.513795	20109	0.171903931	0.361438347	63	1818.686566
8	20109	CHILDREN OF AMERICA: MANASSAS (BULL RUN)	51	0	38.7872807	-77.5184001	20109	0.171903931	0.361438347	63	1818.686566
9	20109	KINDERCARE @ SUDLEY MANOR	51	0	38.7889375	-77.5105851	20109	0.171903931	0.361438347	63	1818.686566
10	20109	THE LEARNING EXPERIENCE	51	0	38.7821513	-77.5180309	20109	0.171903931	0.361438347	63	1818.686566
11	20109	PRINCE WILLIAM PARKS & REC: BEN LOMOND COMMUNITY CNTR	51	0	38.7897963	-77.5056589	20109	0.171903931	0.361438347	63	1818.686566
12	20110	Minnieland Academy @ Technology	51	2	38.7413699	-77.5003819	20110	0.132874464	0.297770991	74	3474.759217
13	20110	Nvfs Head Start Program: Georgetown South Ehs Cdc	51	2	38.7521033	-77.4821364	20110	0.132874464	0.297770991	74	3474.759217
14	20110	Minnieland Academy @ Wellington	51	3	38.7509488	-77.4752667	20110	0.132874464	0.297770991	74	3474.759217
15	20110	123ABC LITTLE LEARNERS ACADEMY	51	0	38.7636257	-77.441222	20110	0.132874464	0.297770991	74	3474.759217
16	20110	ALL SAINTS SCHOOL EXTENDED DAY & PRE-KINDERGARTEN PROGRAM	51	0	38.7535953	-77.4864917	20110	0.132874464	0.297770991	74	3474.759217
17	20110	APPLE TREE PRESCHOOL	51	0	38.770497	-77.480544	20110	0.132874464	0.297770991	74	3474.759217
18	20110	CAROUSEL CHILD DEVELOPMENT CENTER	51	0	38.754765	-77.464018	20110	0.132874464	0.297770991	74	3474.759217
19	20110	CHESTERBROOK ACADEMY	51	0	38.7386527	-77.5237063	20110	0.132874464	0.297770991	74	3474.759217
20	20110	CHILDREN OF AMERICA: MANASSAS	51	0	38.7485769	-77.4494708	20110	0.132874464	0.297770991	74	3474.759217
21	20110	CHILDTIME CHILDREN'S CENTER	51	0	38.748547	-77.4511015	20110	0.132874464	0.297770991	74	3474.759217
22	20110	FREEDOM AQUATIC PRESCHOOL & SUMMER CAMPS	51	0	38.7564145	-77.5213804	20110	0.132874464	0.297770991	74	3474.759217
23	20110	GRACE CHILDREN'S LEARNING CENTER	51	0	38.7383142	-77.4766728	20110	0.132874464	0.297770991	74	3474.759217
24	20110	LA PETITE ACADEMY: MANASSAS	51	0	38.7383672	-77.4713698	20110	0.132874464	0.297770991	74	3474.759217
25	20110	LEARNING TREE ACADEMY	51	0	38.741417	-77.471886	20110	0.132874464	0.297770991	74	3474.759217
26	20110	MANASSAS CHRISTIAN ACADEMY	51	0	38.748478	-77.4627	20110	0.132874464	0.297770991	74	3474.759217
27	20110	MINNIELAND ACADEMY @ TECHNOLOGY	51	0	38.749351	-77.49467	20110	0.132874464	0.297770991	74	3474.759217
28	20110	MINNIELAND ACADEMY @ WELLINGTON	51	0	38.7351691	-77.4774881	20110	0.132874464	0.297770991	74	3474.759217
29	20110	ROBERT DAY CHILD CARE CENTER	51	0	38.7548559	-77.4672889	20110	0.132874464	0.297770991	74	3474.759217
30	20110	SEVEN OAKS ACADEMY	51	0	38.769214	-77.485663	20110	0.132874464	0.297770991	74	3474.759217
31	20110	THE COMPASS SCHOOL OF MANASSAS, INC.	51	0	38.743029	-77.5112951	20110	0.132874464	0.297770991	74	3474.759217
32	20110	VENUS CHILD CARE & LEARNING CENTER	51	0	38.768991	-77.456143	20110	0.132874464	0.297770991	74	3474.759217
33	20110	ALPHA-BET PRESCHOOL, INC.	51	0	38.7479827	-77.4996583	20110	0.132874464	0.297770991	74	3474.759217
34	20110	NVFS HEAD START PROGRAM: GEORGETOWN SOUTH EHS CDC	51	0	38.7412767	-77.4729927	20110	0.132874464	0.297770991	74	3474.759217
35	20110	RENAISSANCE MONTESSORI SCHOOL	51	0	38.7647388	-77.4827185	20110	0.132874464	0.297770991	74	3474.759217
36	20111	Costello Park Preschool & Extended Care	51	2	38.7440272	-77.4696579	20111	0.097482838	0.296534815	76	1878.85332
37	20111	ABOVE AND BEYOND CHILD CARE	51	0	38.7550023	-77.4357739	20111	0.097482838	0.296534815	76	1878.85332
38	20111	COSTELLO PARK PRESCHOOL & EXTENDED CARE	51	0	38.7831535	-77.4622484	20111	0.097482838	0.296534815	76	1878.85332
39	20111	NOAH'S ARK CHRISTIAN PRESCHOOL	51	0	38.790168	-77.465819	20111	0.097482838	0.296534815	76	1878.85332
40	20111	PATY-KAKE DAY CENTER	51	0	38.7788845	-77.4578364	20111	0.097482838	0.296534815	76	1878.85332
41	20111	THE MERIT SCHOOL OF MANASSAS PARK	51	0	38.7604322	-77.4414232	20111	0.097482838	0.296534815	76	1878.85332
42	20112	MINNIELAND ACADEMY @ ASHLAND	51	0	38.612774	-77.375806	20112	0.095343166	0.089575349	124	660.6993239
43	20112	THE CHILDREN'S CENTER OF MANASSAS	51	0	38.690675	-77.439774	20112	0.095343166	0.089575349	124	660.6993239
44	20115	MOUNTAINSIDE MONTESSORI	51	0	38.7872241	-77.9437431	20115	0.069715656	0.079650565	139	61.32617222
45	20115	MIDDLEBURG MONTESSORI	51	0	38.976151	-77.810342	20115	0.069715656	0.079650565	139	61.32617222
46	20117	FLEUR-DE-LIS MONTESSORI SCHOOL	51	0	38.9692389	-77.7337343	20117	0.125881916	0.088377274	250	60.19290332
47	20118	LOUDOUN COUNTY PARKS & REC CHILD CARE @ MIDDLEBURG COMM CNTR	51	0	38.9681063	-77.738958	20118	0.714285714	0	679.6084834	
48	20119	FAUQUIER COMMUNITY ACTION COMMITTEE: HM PEARSON HEAD START	51	0	38.650518	-77.677064	20119	0.06411556	0.043335023	104	61.78986599
49	20120	Fecep/Head Start Program @ London Towne	51	2	38.9042789	-77.471321	20120	0.061752058	0.112839415	118	2369.519775
50	20120	HANDS DAYCARE, INC.	51	0	38.850053	-77.442952	20120	0.061752058	0.112839415	118	2369.519775
51	20120	HAPPY FACES DAYCARE & PRESCHOOL	51	0	38.839889	-77.428849	20120	0.061752058	0.112839415	118	2369.519775
52	20120	KIDDIE ACADEMY OF CENTREVILLE	51	0	38.8489952	-77.4406358	20120	0.061752058	0.112839415	118	2369.519775
53	20120	KINDERCARE: CENTREVILLE	51	0	38.8354855	-77.4561804	20120	0.061752058	0.112839415	118	2369.519775
54	20120	KINDERCARE: WOODMERE DR	51	0	38.866526	-77.445926	20120	0.061752058	0.112839415	118	2369.519775
55	20120	LA PETITE ACADEMY: SULLY STATION	51	0	38.8659725	-77.4464063	20120	0.061752058	0.112839415	118	2369.519775
57	20120	RAINBOW CHILD DEVELOPMENT CENTER	51	0	38.8496883	-77.4423659	20120	0.061752058	0.112839415	118	2369.519775
58	20120	CENTREVILLE PRESCHOOL INC	51	0	38.839914	-77.4280245	20120	0.061752058	0.112839415	118	2369.519775
59	20121	CHESTERBROOK ACADEMY: CENTREVILLE	51	0	38.8307227	-77.4395031	20121	0.090252966	0.169429756	102	3238.303311
60	20121	CLIFTON CHIDLREN'S ACADEMY	51	0	38.8077013	-77.443358	20121	0.090252966	0.169429756	102	3238.303311
61	20121	LA PETITE ACADEMY: CENTREVILLE	51	0	38.819208	-77.4386113	20121	0.090252966	0.169429756	102	3238.303311
62	20121	MINNIELAND @ CENTREVILLE SQUARE	51	0	38.8371898	-77.4335514	20121	0.090252966	0.169429756	102	3238.303311
63	20121	WILLOWCREEK ACADEMY CENTREVILLE	51	0	38.8312973	-77.432657	20121	0.090252966	0.169429756	102	3238.303311
64	20121	CENTREVILLE DAY SCHOOL	51	0	38.82564	-77.4397538	20121	0.090252966	0.169429756	102	3238.303311
65	20121	MONTESSORI CHILDREN'S CENTER: CENTREVILLE CENTER	51	0	38.8249229	-77.4392389	20121	0.090252966	0.169429756	102	3238.303311
66	20121	MULFORD PRIVATE SCHOOL	51	0	38.8309959	-77.4700222	20121	0.090252966	0.169429756	102	3238.303311
67	20124	CHESTERBROOK ACADEMY: CLIFTON	51	0	38.8320557	-77.4132825	20124	0.032173386	0.050413946	192	698.5396575
68	20124	CHILDTIME LEARNING CENTER: UNION MILL	51	0	38.8274146	-77.4133246	20124	0.032173386	0.050413946	192	698.5396575
69	20124	COUNTRY SCHOOL HOUSE	51	0	38.8305413	-77.4076428	20124	0.032173386	0.050413946	192	698.5396575
70	20124	LORD OF LIFE PRESCHOOL-CLIFTON	51	0	38.8190669	-77.412425	20124	0.032173386	0.050413946	192	698.5396575
71	20124	ST. THE APOSTLE ANDREW PRESCHOOL	51	0	38.8050185	-77.4220622	20124	0.032173386	0.050413946	192	698.5396575
72	20131	LOUDOUN COUNTY PARKS & REC CHILD CARE @ PHILOMONT COMM ��_CNTR	51	0	39.057249	-77.7391169					
73	20132	LOUDOUN COUNTY PARKS & REC CHILD CARE @ LOUDOUN VALLEY COMM	51	0	39.132163	-77.719308	20132	0.035849057	0.049937107	125	191.7741791
74	20132	MONTESSORI SCHOOL OF PURCELLVILLE	51	0	39.140137	-77.714412	20132	0.035849057	0.049937107	125	191.7741791
75	20132	PURCELLVILLE CHILDREN'S ACADEMY	51	0	39.138495	-77.7069999	20132	0.035849057	0.049937107	125	191.7741791
76	20135	LOUDOUN COUNTY PARKS & REC CHILD CARE @ BLUEMONT COMM CNTR	51	0	39.1097232	-77.8292999	20135	0.016231475	0.026111503	160	63.59254126
77	20135	VILLAGE MONTESSORI SCHOOL @ BLUEMONT	51	0	39.1068862	-77.8252449	20135	0.016231475	0.026111503	160	63.59254126
78	20136	BRISTOW MONTESSORI SCHOOL	51	0	38.7597136	-77.5757012	20136	0.113236017	0.124184153	91	1943.071218
79	20136	KINDERCARE LEARNING CENTER #1808	51	0	38.748837	-77.571809	20136	0.113236017	0.124184153	91	1943.071218
80	20136	KINDERCARE LEARNING CENTER AT BRAEMAR	51	0	38.739807	-77.5603919	20136	0.113236017	0.124184153	91	1943.071218
81	20136	LINTON HALL PRESCHOOL, EXTENDED DAY & SUMMER CAMP PROGRAM	51	0	38.7511801	-77.5687425	20136	0.113236017	0.124184153	91	1943.071218
82	20136	MINNIELAND ACADEMY @ BRAEMAR	51	0	38.742785	-77.580003	20136	0.113236017	0.124184153	91	1943.071218
